fid,left,top,right,bottom,id
1025,3642.33349609375,-3574599.75,4142.33349609375,-3575099.75,1025
1026,3642.33349609375,-3575099.75,4142.33349609375,-3575599.75,1026
1027,3642.33349609375,-3575599.75,4142.33349609375,-3576099.75,1027
1028,3642.33349609375,-3576099.75,4142.33349609375,-3576599.75,1028
1034,3642.33349609375,-3579099.75,4142.33349609375,-3579599.75,1034
1042,3642.33349609375,-3583099.75,4142.33349609375,-3583599.75,1042
1043,3642.33349609375,-3583599.75,4142.33349609375,-3584099.75,1043
1044,3642.33349609375,-3584099.75,4142.33349609375,-3584599.75,1044
1045,3642.33349609375,-3584599.75,4142.33349609375,-3585099.75,1045
1047,3642.33349609375,-3585599.75,4142.33349609375,-3586099.75,1047
1081,4142.33349609375,-3553599.75,4642.33349609375,-3554099.75,1081
1087,4142.33349609375,-3556599.75,4642.33349609375,-3557099.75,1087
1088,4142.33349609375,-3557099.75,4642.33349609375,-3557599.75,1088
1090,4142.33349609375,-3558099.75,4642.33349609375,-3558599.75,1090
1093,4142.33349609375,-3559599.75,4642.33349609375,-3560099.75,1093
1101,4142.33349609375,-3563599.75,4642.33349609375,-3564099.75,1101
1106,4142.33349609375,-3566099.75,4642.33349609375,-3566599.75,1106
1110,4142.33349609375,-3568099.75,4642.33349609375,-3568599.75,1110
1111,4142.33349609375,-3568599.75,4642.33349609375,-3569099.75,1111
1113,4142.33349609375,-3569599.75,4642.33349609375,-3570099.75,1113
1114,4142.33349609375,-3570099.75,4642.33349609375,-3570599.75,1114
1116,4142.33349609375,-3571099.75,4642.33349609375,-3571599.75,1116
1117,4142.33349609375,-3571599.75,4642.33349609375,-3572099.75,1117
1125,4142.33349609375,-3575599.75,4642.33349609375,-3576099.75,1125
1128,4142.33349609375,-3577099.75,4642.33349609375,-3577599.75,1128
1129,4142.33349609375,-3577599.75,4642.33349609375,-3578099.75,1129
1130,4142.33349609375,-3578099.75,4642.33349609375,-3578599.75,1130
1131,4142.33349609375,-3578599.75,4642.33349609375,-3579099.75,1131
1135,4142.33349609375,-3580599.75,4642.33349609375,-3581099.75,1135
1136,4142.33349609375,-3581099.75,4642.33349609375,-3581599.75,1136
1137,4142.33349609375,-3581599.75,4642.33349609375,-3582099.75,1137
1138,4142.33349609375,-3582099.75,4642.33349609375,-3582599.75,1138
1142,4142.33349609375,-3584099.75,4642.33349609375,-3584599.75,1142
1144,4142.33349609375,-3585099.75,4642.33349609375,-3585599.75,1144
1181,4642.33349609375,-3554599.75,5142.33349609375,-3555099.75,1181
1184,4642.33349609375,-3556099.75,5142.33349609375,-3556599.75,1184
1186,4642.33349609375,-3557099.75,5142.33349609375,-3557599.75,1186
1190,4642.33349609375,-3559099.75,5142.33349609375,-3559599.75,1190
1195,4642.33349609375,-3561599.75,5142.33349609375,-3562099.75,1195
1196,4642.33349609375,-3562099.75,5142.33349609375,-3562599.75,1196
1198,4642.33349609375,-3563099.75,5142.33349609375,-3563599.75,1198
1199,4642.33349609375,-3563599.75,5142.33349609375,-3564099.75,1199
1206,4642.33349609375,-3567099.75,5142.33349609375,-3567599.75,1206
1207,4642.33349609375,-3567599.75,5142.33349609375,-3568099.75,1207
1208,4642.33349609375,-3568099.75,5142.33349609375,-3568599.75,1208
1213,4642.33349609375,-3570599.75,5142.33349609375,-3571099.75,1213
1215,4642.33349609375,-3571599.75,5142.33349609375,-3572099.75,1215
1218,4642.33349609375,-3573099.75,5142.33349609375,-3573599.75,1218
1219,4642.33349609375,-3573599.75,5142.33349609375,-3574099.75,1219
1220,4642.33349609375,-3574099.75,5142.33349609375,-3574599.75,1220
1223,4642.33349609375,-3575599.75,5142.33349609375,-3576099.75,1223
1227,4642.33349609375,-3577599.75,5142.33349609375,-3578099.75,1227
1231,4642.33349609375,-3579599.75,5142.33349609375,-3580099.75,1231
1232,4642.33349609375,-3580099.75,5142.33349609375,-3580599.75,1232
1239,4642.33349609375,-3583599.75,5142.33349609375,-3584099.75,1239
1242,4642.33349609375,-3585099.75,5142.33349609375,-3585599.75,1242
